Year,Primary Energy,Fossil Consumption,Total Coal Consumption,Total Gas Consumption,Total Oil Consumption,Nuclear Consumption,Renewable Consumption,Hydro Consumption,Solar Consumption,Wind Consumption,Other Renewables,Population,Labor Force,GDP,Value Added by Activity,Urban Population,GDP per Capita(US $),GNI(Million $),Final Consumption,Total Resource Rent(%GDP),Energy Consumption by Industry,Energy Consumption by Transport,Energy Consumption by Residential,Energy consumption by Public Services,Energy Consumption by Others,GHG Emissions
1965,7861.043,7413.145,3929.069,163.365,3320.709,55.783,392.115,384.486,0,0,7.629,263223824,66865059,2.52E+12,,139522906,9573.6,,,,,,,,,25652.5236
1966,8035.925,7522.357,3699.285,178.933,3644.139,73.037,440.531,429.523,0,0,11.008,265220195,68033468,2.63E+12,,141988258,9916.29,,,,,,,,,26053.526
1967,8228.336,7741.817,3555.594,210.388,3975.836,84.36,402.162,390.063,0,0,12.099,267061434,69334211,2.76E+12,,144272343,10334.7,,,,,,,,,26193.4349
1968,8701.398,8183.842,3561.463,286.174,4336.206,95.625,421.932,408.385,0,0,13.547,268841039,72224597,2.91E+12,,146409445,10824.24,,,,,,,,,27381.9046
1969,9339.04,8791.516,3585.328,372.586,4833.601,113.983,433.542,418.948,0,0,14.594,270740514,76257682,3.06E+12,,148408215,11302.34,,,,,,,,,28946.7211
1970,9896.162,9321.727,3482.853,496.643,5342.23,120.072,454.363,434.372,0,0,19.991,272226823,79907835,4.64E+12,,150171462,17044.61,799556.129,2.39E+12,6.85E+11,,,,,,29671.0375
1971,10080.656,9517.509,3244.127,645.336,5628.048,138.984,424.161,403.866,0,0,20.295,273781748,81133669,4.80E+12,19.2105473,151827255,17532.21,869526.937,2.52E+12,6.98E+11,9356.356544,4378.529234,10877.44586,2701.873422,2729.761094,30578.1775
1972,10492.756,9877.119,3036.065,834.404,6006.65,175.552,440.086,420.565,0,0,19.521,275439099,83691915,5.02E+12,25.00155758,153528657,18225.44,949085.607,2.65E+12,6.38E+11,9422.133718,4627.1946,11205.61732,3067.456379,2980.658454,31109.6685
1973,11135.444,10538.556,3108.916,976.321,6453.321,183.136,413.751,393.866,0,0,19.885,276950767,87816507,5.33E+12,33.35018419,155112134,19245.3,1061539.365,2.78E+12,8.12E+11,9995.374577,4951.830447,11660.10724,3361.870957,3246.763402,32459.7952
1974,10920.907,10258.668,3013.246,1152.225,6093.197,208.328,453.912,432.614,0,0,21.298,278061857,86691492,5.44E+12,16.60759797,156498173,19563.99,1195366.208,2.86E+12,1.40E+12,9915.964195,4845.893639,11546.78957,2997.514867,3218.824966,31750.2489
1975,10484.223,9787.461,2836.435,1240.602,5710.424,238.545,458.218,437.905,0,0,20.313,278727157,84016939,5.38E+12,-4.892043026,157528173,19302.03,1293587.48,2.93E+12,2.45E+12,9236.220317,4985.895603,11547.30952,2952.782472,2850.710662,30330.8074
