year,Primary Energy,Fossil Consumption,Total Coal Consumption,Total Gas Consumption,Total Oil Consumption,Nuclear Consumption,Renewable Consumption,Hydro Consumption,Solar Consumption,Wind Consumption,Other Renewables
1965,19238.041,18040.609,9511.276,1595.903,6933.429,61.113,1136.317,1127.945,0,0,0.002
1966,20040.381,18725.217,9385.44,1786.635,7553.143,79.039,1236.124,1224.356,0,0,0.001
1967,20787.127,19468.816,9256.84,2008.786,8203.192,91.163,1227.145,1214.293,0,0,0.003
1968,21936.936,20525.172,9308.798,2280.009,8936.366,104.833,1306.93,1292.505,0,0,0.001
1969,23295.482,21843.688,9432.775,2583.965,9826.947,126.938,1324.856,1309.095,0,0,0
1970,24701.172,23158.885,9301.573,2980.236,10877.076,138.901,1403.385,1382.163,0,0,0.001
1971,25550.406,23970.354,9128.504,3407.776,11434.073,159.622,1420.429,1398.809,0,0,0.001
1972,26793.25,25122.734,9041.875,3805.59,12275.271,219.471,1451.041,1429.786,0,0,0.004
1973,28253.412,26532.684,9165.502,4218.347,13148.835,251.654,1469.074,1446.128,0,0,0
1974,28568.527,26674.383,9130.07,4606.604,12937.709,308.834,1585.311,1561.188,0,0,-0.001
1975,28898.396,26900.477,9112.682,4989.565,12798.23,412.216,1585.701,1560.09,0,0,0.002
1976,30316.404,28305.391,9350.6,5461.017,13493.773,494.442,1516.571,1490.899,0,0,0
1977,31146.508,28758.291,9406.34,5792.314,13559.638,602.895,1785.32,1758.561,0,0,0.002
1978,32393.559,29879.766,9481.177,6109.833,14288.755,664,1849.793,1821.195,0,0.009,0
1979,33505.332,30836.889,9749.822,6470.533,14616.532,743.541,1924.904,1895.087,0,0.018,-0.002
1980,33275.973,30477.559,9730.223,6579.616,14167.721,880.836,1917.576,1884.656,0,0.031,0.002
1981,33047.898,29954.543,9603.93,6774.275,13576.338,1154.369,1938.985,1905.967,0,0.031,0.001
1982,32996.145,29827.781,9685.924,7038.406,13103.451,1284.438,1883.926,1853.5,0,0.055,0
1983,33463.344,30016.596,9767.687,7458.569,12790.341,1495.808,1950.939,1919.515,0,0.089,0.001
1984,34496.789,30561.48,9707.405,8014.574,12839.501,1907.537,2027.772,1995.244,0.003,0.113,0
1985,33407.234,29190.623,9429.62,7673.371,12087.632,2255.367,1961.243,1924.1,0.003,0.17,0.001
1986,33996.938,29672.891,9419.215,7815.64,12438.036,2395.032,1929.012,1888.249,0.003,0.395,0.003
1987,34759.953,30192.584,9503.838,8216.188,12472.559,2535.69,2031.68,1991.342,0,0.564,-0.001
1988,35163.977,30268.707,9326.825,8473.379,12468.502,2783.721,2111.546,2068.305,0.003,0.975,0.003
1989,35093.453,30267.363,9140.237,8641.229,12485.896,2903.24,1922.851,1879.499,0.027,1.524,-0.001
1990,35140.469,30294.465,8624.07,9065.899,12604.494,2873.655,1972.274,1910.733,0.037,2.305,0.075
1991,34683.492,29727.391,8048.179,9232.272,12446.938,2944.714,2011.305,1947.238,0.046,2.898,0.082
1992,33407.262,28377.814,7558.159,8846.303,11973.354,2961.93,2067.28,1998.036,0.074,4.539,0.238
1993,32240.533,27054.711,7005.543,8842.118,11207.051,3064.164,2121.096,2042.759,0.096,6.756,0.562
1994,30934.229,25791.863,6476.772,8438.882,10876.21,2979.244,2161.584,2077.45,0.103,8.81,1.538
1995,30865.428,25627.859,6357.189,8537.651,10733.018,3054.509,2180.65,2086.523,0.133,11.423,2.41
1996,31093.947,25797.258,6163.899,9068.158,10565.2,3238.193,2054.941,1957.338,0.141,14.278,3.555
1997,30589.357,25171.719,5895.841,8655.78,10620.099,3265.974,2146.805,2026.477,0.168,21.573,4.859
1998,30756.465,25279.707,5670.36,8868.485,10740.863,3227.998,2244.241,2100.054,0.198,33.032,4.519
1999,30714.537,25111.07,5434.796,9048.178,10628.097,3298.121,2300.262,2140.903,0.237,42.06,5.084
2000,31074.508,25304.492,5580.736,9259.315,10464.439,3346.95,2415.129,2220.466,0.22,66.267,7.937
2001,31526.711,25622.688,5552.182,9413.887,10656.619,3436.303,2458.509,2238.357,0.571,78.927,9.211
2002,31332.834,25567.123,5544.816,9468.498,10553.809,3464.951,2288.601,2021.292,0.919,106.24,12.159
2003,31871.287,26161.66,5715.427,9779.315,10666.916,3493.021,2201.205,1886.636,1.359,130.077,15.401
2004,32275.598,26339.926,5570.408,10045.516,10724.002,3504.55,2410.64,2018.394,2.164,172.199,20.482
2005,32379.92,26405.637,5399.341,10212.317,10793.979,3461.14,2477.476,2018.164,4.331,204.993,35.667
2006,32840.48,26837.953,5594.431,10348,10895.523,3452.658,2494.455,1966.195,7.31,238.029,55.414
2007,32580.836,26584.812,5584.816,10317.612,10682.385,3299.11,2619.642,1994.021,10.965,300.191,77.272
2008,32489.533,26352.918,5385.916,10332.942,10634.059,3284.852,2745.592,2036.118,21.326,340.929,106.171
2009,30580.381,24494.676,4794.521,9584.75,10115.405,3130.832,2828.938,2033.179,40.005,376.08,125.935
2010,31729.949,25342.332,4956.086,10317.745,10068.5,3202.68,3035.348,2122.023,65.212,417.814,149.589
2011,31344.277,25048.055,5147.806,9934.397,9965.851,3168.974,2968.344,1877,129.943,501.918,158.904
2012,31233.961,24680.615,5267.597,9704.395,9708.624,3093.972,3287.95,2005.157,198.061,573.566,171.424
2013,30888.162,24132.086,5085.505,9545.573,9501.008,3031.115,3571.671,2135.65,235.886,655.655,153.29
2014,29955.869,23097.711,4729.881,8946.785,9421.044,3050.571,3641.796,2104.774,264.089,694.613,165.791
2015,29865.566,22971.08,4620.25,8898.146,9452.684,3007.291,3719.458,1984.917,291.878,827.997,167.737
2016,30274.68,23374.945,4403.33,9313.682,9657.933,2925.396,3803.752,2057.831,299.439,823.327,170.587
2017,30408.889,23485.398,4148.798,9565.499,9771.101,2909.419,3830.008,1894.137,320.689,975.505,184.064
2018,30846.207,23680.549,4134.545,9739.818,9806.186,2895.888,4070.22,2056.394,341.592,1015.199,199.55
2019,30367.592,23134.762,3578.728,9746,9810.035,2880.987,4144.164,1936.217,375.249,1154.799,207.679
2020,28445.02,21091.248,3085.281,9369.796,8636.171,2644.863,4496.056,2081.754,437.891,1284.85,212.853
2021,29988.896,22414.805,3253.386,10073.819,9087.6,2789.52,4568.993,2116.456,484.91,1242.021,215.578
